-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.123ms         0.03%      10.123ms       4.883us          2073  
                                     aten::masked_fill_         0.03%       7.722ms         2.60%     703.853ms       1.029ms       9.765ms         0.03%      15.969ms      23.347us           684  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       9.469ms         0.03%       9.469ms       2.121us          4464  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       7.847ms         0.02%       7.847ms      54.115us           145  
                               triton_poi_fused_zeros_2         0.02%       4.094ms         0.44%     119.675ms     311.655us       7.567ms         0.02%      11.997ms      31.243us           384  
               triton_red_fused__to_copy_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us       7.232ms         0.02%       7.232ms      66.959us           108  
               triton_red_fused__to_copy_add_rms_norm_1         0.00%     163.170us         0.04%      11.029ms     919.102us       6.903ms         0.02%      11.162ms     930.151us            12  
void flashinfer::PersistentVariableLengthMergeStates...         0.00%       0.000us         0.00%       0.000us       0.000us       5.762ms         0.02%       5.762ms       3.366us          1712  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.226ms         0.02%       5.226ms      48.384us           108  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 27.062s
Self CUDA time total: 34.067s

